0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             23042012                                                                                                                                                                                                                                                                                                                                                                                      000001
1047421000232COBR_CAUC_BIC  JOFER EMBALAGENS LTDA.                  000190373000172IND. E COM. DE COSMETICOS NATURA L      RODOVIA ANHANGUERA,  KM 30,5            CAJAMAR                                 07750000SP349670000101354244003154201   20042012007PAULISTA            0407201200000000012707459CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      004140815000127AUTO POSTO JARDIM IBITI LTDA.           AV COMENDADOR CAMILO JULIO, 1625        SOROCABA                                18086000SP3500400003000349070064865 P1  04042012900BRADESCO S/A        0205201200000000000786302CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      004140815000127AUTO POSTO JARDIM IBITI LTDA.           AV COMENDADOR CAMILO JULIO, 1625        SOROCABA                                18086000SP3500400004000349740065033 P1  04042012900BRADESCO S/A        0305201200000000000851250CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      004140815000127AUTO POSTO JARDIM IBITI LTDA.           AV COMENDADOR CAMILO JULIO, 1625        SOROCABA                                18086000SP3500400005000348420065111 P1  04042012900BRADESCO S/A        3004201200000000001074650CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003645510000104AUTO POSTO PARQUE DE VINHEDO L          ESTRADA DA BOIADA,2440                  VINHEDO                                 13280000SP3500500001000359620024791 P1  20042012900BRADESCO S/A        1405201200000000001039600CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003645510000104AUTO POSTO PARQUE DE VINHEDO L          ESTRADA DA BOIADA,2440                  VINHEDO                                 13280000SP3500500002000348850063328 P1  04042012900BRADESCO S/A        0205201200000000001066050CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003645510000104AUTO POSTO PARQUE DE VINHEDO L          ESTRADA DA BOIADA,2440                  VINHEDO                                 13280000SP3500500003000348260063329 P1  04042012900BRADESCO S/A        3004201200000000000709902CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003645510000104AUTO POSTO PARQUE DE VINHEDO L          ESTRADA DA BOIADA,2440                  VINHEDO                                 13280000SP3500500004000354580064011 p1  11042012900BRADESCO S/A        1105201200000000001059000CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003645510000104AUTO POSTO PARQUE DE VINHEDO L          ESTRADA DA BOIADA,2440                  VINHEDO                                 13280000SP3500500005000353000065027 P1  10042012900BRADESCO S/A        0205201200000000001067150CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003643986000106AUTO POSTO NOVA ITAQUERA LTDA           AV IMPERADOR,5080                       SAO PAULO                               08050000SP3500600001000358570026906 P1  19042012900BRADESCO S/A        0405201200000000001033450CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1007421039880COBR_CAUC_COR  PETROSUL DIST TRANSP COM COMB LTDA      003643986000106AUTO POSTO NOVA ITAQUERA LTDA           AV IMPERADOR,5080                       SAO PAULO                               08050000SP3500600002000359460026907 P1  20042012900BRADESCO S/A        1005201200000000000499400CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
