0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    16112011                                                                                                                                                                                                                                                                                                                                                                                                000001
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP3187800004011096732.720       05102011007PAULISTA            2212201100000000002604000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-15     000029
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP318790000101058408002591      15092011007PAULISTA            2311201100000000001475600CC                                                                                                                                                                                                                                                                                                                                                                                           151597-16     000030
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP318790000201058424002592      15092011007PAULISTA            0112201100000000002101800CC                                                                                                                                                                                                                                                                                                                                                                                           151597-17     000031
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP318790000301061387002604      16092011007PAULISTA            0912201100000000002404980CC                                                                                                                                                                                                                                                                                                                                                                                           151597-18     000032
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP3187900004011082432.689       30092011007PAULISTA            2012201100000000002511000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-19     000033
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP3187900005011098272.728       07102011007PAULISTA            1612201100000000001500400CC                                                                                                                                                                                                                                                                                                                                                                                           151597-20     000034
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000001084924782054 A      01112011010RECIFE              2211201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-21     000035
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000002084924862054 B      01112011010RECIFE              2911201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-22     000036
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000003084924942054 C      01112011010RECIFE              0612201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-23     000037
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000004084925082054 D      01112011010RECIFE              1312201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-24     000038
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100001084923202052 C      31102011003CENTRO              0512201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                           151597-25     000039
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100002084923382052 B      31102011003CENTRO              2811201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                           151597-26     000040
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100003084923462052 A      31102011003CENTRO              2111201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                           151597-27     000041
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     007402387000151PESCOMAR DIST DE PESC LTDA              RUA JOSE LEONIDAS,943                   FORTALEZA                               60823020CE3188100004084924272052 D      31102011003CENTRO              1212201100000000001740250CC                                                                                                                                                                                                                                                                                                                                                                                           151597-28     000042
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200001084815812016 A      21102011009BRASILIA            1111201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-29     000043
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200002084815902016 B      21102011009BRASILIA            1811201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-30     000044
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     009108537000144RIACHO PESCADOS - COMERCIO DE ALIM      A ADE QD 600 CONJ 06 S/N LOTE 3         BRASILIA                                72640006DF3188200003084816032016 C      21102011009BRASILIA            2511201100000000002284000CC                                                                                                                                                                                                                                                                                                                                                                                           151597-31     000045
